drug,term,count
pembrolizumab,IMMUNE-MEDIATED ADVERSE REACTION,539
pembrolizumab,DYSPHAGIA,536
pembrolizumab,MUSCULAR WEAKNESS,536
pembrolizumab,NO ADVERSE EVENT,532
pembrolizumab,WHITE BLOOD CELL COUNT DECREASED,524
pembrolizumab,HEPATIC ENZYME INCREASED,513
pembrolizumab,BLOOD CREATININE INCREASED,509
pembrolizumab,ERYTHEMA,496
pembrolizumab,MYOSITIS,496
pembrolizumab,HEPATIC CYTOLYSIS,494
pembrolizumab,LIVER DISORDER,487
pembrolizumab,MUCOSAL INFLAMMATION,484
pembrolizumab,TOXICITY TO VARIOUS AGENTS,483
pembrolizumab,OEDEMA PERIPHERAL,482
pembrolizumab,HEPATOTOXICITY,480
pembrolizumab,DIABETES MELLITUS,478
pembrolizumab,INFECTION,478
pembrolizumab,IMMUNE-MEDIATED MYOCARDITIS,471
pembrolizumab,CONFUSIONAL STATE,467
pembrolizumab,IMMUNE-MEDIATED HEPATITIS,466
pembrolizumab,COVID-19,456
pembrolizumab,THYROIDITIS,450
osimertinib,DEATH,9773
osimertinib,MALIGNANT NEOPLASM PROGRESSION,2872
osimertinib,DIARRHOEA,1334
osimertinib,DRUG RESISTANCE,1022
osimertinib,FATIGUE,767
osimertinib,RASH,747
osimertinib,DRUG INEFFECTIVE,649
osimertinib,DECREASED APPETITE,640
osimertinib,DISEASE PROGRESSION,633
osimertinib,OFF LABEL USE,613
osimertinib,DYSPNOEA,578
osimertinib,NAUSEA,573
osimertinib,INTERSTITIAL LUNG DISEASE,556
osimertinib,METASTASES TO CENTRAL NERVOUS SYSTEM,551
osimertinib,PLEURAL EFFUSION,459
osimertinib,MYELOSUPPRESSION,434
osimertinib,ACQUIRED GENE MUTATION,433
osimertinib,ASTHENIA,419
osimertinib,VOMITING,378
osimertinib,PNEUMONIA,367
osimertinib,WEIGHT DECREASED,358
osimertinib,COUGH,335
osimertinib,PNEUMONITIS,320
osimertinib,PYREXIA,308
osimertinib,DRY SKIN,301
osimertinib,PAIN,293
osimertinib,PLATELET COUNT DECREASED,281
osimertinib,METASTASES TO BONE,261
osimertinib,FALL,258
osimertinib,PULMONARY EMBOLISM,252
osimertinib,PRURITUS,243
osimertinib,MUSCLE SPASMS,238
osimertinib,DIZZINESS,235
osimertinib,HEPATIC FUNCTION ABNORMAL,233
osimertinib,MALAISE,233
osimertinib,THROMBOSIS,230
osimertinib,HEADACHE,229
osimertinib,STOMATITIS,228
osimertinib,METASTASES TO MENINGES,227
osimertinib,LUNG DISORDER,224
osimertinib,ANAEMIA,219
osimertinib,THROMBOCYTOPENIA,216
osimertinib,CARDIAC FAILURE,211
osimertinib,CEREBROVASCULAR ACCIDENT,209
osimertinib,DEHYDRATION,204
osimertinib,METASTASES TO LIVER,204
osimertinib,LUNG NEOPLASM MALIGNANT,198
osimertinib,CONSTIPATION,191
osimertinib,PARONYCHIA,190
osimertinib,RESPIRATORY FAILURE,179
osimertinib,PRODUCT DOSE OMISSION ISSUE,172
osimertinib,ELECTROCARDIOGRAM QT PROLONGED,171
osimertinib,DEEP VEIN THROMBOSIS,170
osimertinib,ATRIAL FIBRILLATION,165
osimertinib,ALOPECIA,159
osimertinib,EGFR GENE MUTATION,152
osimertinib,TOXICITY TO VARIOUS AGENTS,152
osimertinib,WHITE BLOOD CELL COUNT DECREASED,150
osimertinib,CONDITION AGGRAVATED,149
osimertinib,ONYCHOCLASIS,148
osimertinib,NEOPLASM PROGRESSION,146
osimertinib,CARDIAC DISORDER,145
osimertinib,DYSPHAGIA,145
osimertinib,GAIT DISTURBANCE,143
osimertinib,PAIN IN EXTREMITY,139
osimertinib,GENERAL PHYSICAL HEALTH DETERIORATION,138
osimertinib,PERIPHERAL SWELLING,138
osimertinib,ARTHRALGIA,135
osimertinib,BACK PAIN,134
osimertinib,NEOPLASM MALIGNANT,132
osimertinib,LIVER DISORDER,131
osimertinib,CHEST PAIN,128
osimertinib,METASTASES TO LUNG,128
osimertinib,NAIL DISORDER,128
osimertinib,RENAL IMPAIRMENT,125
osimertinib,SEIZURE,124
osimertinib,MYOCARDIAL INFARCTION,120
osimertinib,PRODUCT USE ISSUE,120
osimertinib,HYPOTENSION,116
osimertinib,METASTASIS,116
osimertinib,ERYTHEMA,112
osimertinib,PULMONARY OEDEMA,112
osimertinib,INSOMNIA,105
osimertinib,COVID-19,103
osimertinib,PANCYTOPENIA,101
osimertinib,URINARY TRACT INFECTION,101
osimertinib,MYALGIA,99
osimertinib,PRODUCT USE IN UNAPPROVED INDICATION,99
osimertinib,RENAL FAILURE,99
osimertinib,PERICARDIAL EFFUSION,98
osimertinib,MALIGNANT TRANSFORMATION,95
osimertinib,BLOOD CREATINE PHOSPHOKINASE INCREASED,94
osimertinib,EJECTION FRACTION DECREASED,94
osimertinib,VISUAL IMPAIRMENT,94
osimertinib,DRUG INTOLERANCE,91
osimertinib,INFECTION,91
osimertinib,SKIN DISORDER,91
osimertinib,DERMATITIS ACNEIFORM,88
osimertinib,DRUG INTERACTION,88
osimertinib,VISION BLURRED,88
nivolumab,DEATH,11078
nivolumab,MALIGNANT NEOPLASM PROGRESSION,9372
nivolumab,OFF LABEL USE,5207
nivolumab,DIARRHOEA,4654
nivolumab,FATIGUE,3738
nivolumab,PYREXIA,3475
nivolumab,INTENTIONAL PRODUCT USE ISSUE,3331
nivolumab,NAUSEA,2819
nivolumab,RASH,2769
nivolumab,DECREASED APPETITE,2602
nivolumab,DYSPNOEA,2530
nivolumab,PNEUMONIA,2279
nivolumab,COLITIS,2083
nivolumab,PNEUMONITIS,2045
nivolumab,ASTHENIA,1909
nivolumab,VOMITING,1883
nivolumab,HYPOTHYROIDISM,1837
nivolumab,ACUTE KIDNEY INJURY,1745
nivolumab,WEIGHT DECREASED,1669
nivolumab,DRUG INEFFECTIVE,1651
nivolumab,ANAEMIA,1632
nivolumab,PRURITUS,1608
nivolumab,GENERAL PHYSICAL HEALTH DETERIORATION,1503
nivolumab,INTERSTITIAL LUNG DISEASE,1481
nivolumab,MALAISE,1414
nivolumab,ARTHRALGIA,1392
nivolumab,PRODUCT USE IN UNAPPROVED INDICATION,1380
nivolumab,ADRENAL INSUFFICIENCY,1240
nivolumab,CONSTIPATION,1220
nivolumab,HEADACHE,1209
nivolumab,SEPSIS,1205
nivolumab,PAIN,1153
nivolumab,ADVERSE EVENT,1136
nivolumab,IMMUNE-MEDIATED ENTEROCOLITIS,1134
nivolumab,HEPATIC FUNCTION ABNORMAL,1079
nivolumab,COUGH,1076
nivolumab,THROMBOCYTOPENIA,1063
nivolumab,PLEURAL EFFUSION,1058
nivolumab,BACK PAIN,1046
nivolumab,DEHYDRATION,948
nivolumab,MYOCARDITIS,925
nivolumab,LIVER DISORDER,895
nivolumab,HYPERTHYROIDISM,888
nivolumab,HEPATITIS,869
nivolumab,HYPOTENSION,857
nivolumab,ABDOMINAL PAIN,848
nivolumab,RESPIRATORY FAILURE,836
nivolumab,HYPONATRAEMIA,811
nivolumab,NEUTROPENIA,790
nivolumab,DIZZINESS,772
nivolumab,FEBRILE NEUTROPENIA,762
nivolumab,ASPARTATE AMINOTRANSFERASE INCREASED,751
nivolumab,ALANINE AMINOTRANSFERASE INCREASED,749
nivolumab,STOMATITIS,744
nivolumab,HYPOPHYSITIS,742
nivolumab,RENAL FAILURE,742
nivolumab,DISEASE PROGRESSION,734
nivolumab,PULMONARY EMBOLISM,730
nivolumab,FALL,729
nivolumab,HYPERTENSION,714
nivolumab,MYALGIA,674
nivolumab,DIABETIC KETOACIDOSIS,659
nivolumab,PLATELET COUNT DECREASED,648
nivolumab,MYOSITIS,646
nivolumab,CHILLS,645
nivolumab,MUSCULAR WEAKNESS,636
nivolumab,INFUSION RELATED REACTION,634
nivolumab,CARDIAC FAILURE,631
nivolumab,PEMPHIGOID,628
nivolumab,CONDITION AGGRAVATED,618
nivolumab,URINARY TRACT INFECTION,616
nivolumab,LUNG DISORDER,612
nivolumab,NEUROPATHY PERIPHERAL,609
nivolumab,PRODUCT USE ISSUE,600
nivolumab,PAIN IN EXTREMITY,596
nivolumab,ATRIAL FIBRILLATION,585
nivolumab,TYPE 1 DIABETES MELLITUS,580
nivolumab,DIABETES MELLITUS,573
nivolumab,PRESCRIBED UNDERDOSE,566
nivolumab,BLOOD PRESSURE INCREASED,563
nivolumab,CONFUSIONAL STATE,559
nivolumab,IMMUNE-MEDIATED HEPATITIS,554
nivolumab,CHEST PAIN,548
nivolumab,METASTASES TO CENTRAL NERVOUS SYSTEM,542
nivolumab,DYSPHAGIA,541
nivolumab,ERYTHEMA,539
nivolumab,ARTHRITIS,534
nivolumab,OEDEMA PERIPHERAL,528
nivolumab,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,526
nivolumab,FULMINANT TYPE 1 DIABETES MELLITUS,517
nivolumab,AUTOIMMUNE DISORDER,508
nivolumab,THYROIDITIS,505
nivolumab,HYPOKALAEMIA,502
nivolumab,INFECTION,502
nivolumab,HYPERGLYCAEMIA,496
nivolumab,RENAL IMPAIRMENT,493
nivolumab,IMMUNE-MEDIATED LUNG DISEASE,484
nivolumab,BLOOD CREATININE INCREASED,482
nivolumab,CYTOKINE RELEASE SYNDROME,482
nivolumab,AUTOIMMUNE HEPATITIS,476
abemaciclib,DIARRHOEA,4125
abemaciclib,FATIGUE,1503
abemaciclib,NAUSEA,1367
abemaciclib,VOMITING,802
abemaciclib,MALIGNANT NEOPLASM PROGRESSION,775
abemaciclib,DECREASED APPETITE,645
abemaciclib,DRUG INEFFECTIVE,641
abemaciclib,DEATH,638
abemaciclib,ASTHENIA,547
abemaciclib,WHITE BLOOD CELL COUNT DECREASED,479
abemaciclib,ANAEMIA,454
abemaciclib,NEUTROPENIA,437
abemaciclib,DEHYDRATION,426
abemaciclib,CONSTIPATION,415
abemaciclib,ABDOMINAL PAIN UPPER,398
abemaciclib,ABDOMINAL PAIN,370
abemaciclib,HEADACHE,356
abemaciclib,WEIGHT DECREASED,353
abemaciclib,ALOPECIA,345
abemaciclib,MYELOSUPPRESSION,341
abemaciclib,BLOOD CREATININE INCREASED,321
abemaciclib,DYSPNOEA,320
abemaciclib,DISEASE PROGRESSION,304
abemaciclib,INTERSTITIAL LUNG DISEASE,295
abemaciclib,PAIN,295
abemaciclib,ARTHRALGIA,293
abemaciclib,DIZZINESS,290
abemaciclib,MALAISE,281
abemaciclib,RASH,274
abemaciclib,PLATELET COUNT DECREASED,248
abemaciclib,PNEUMONIA,237
abemaciclib,ACUTE KIDNEY INJURY,235
abemaciclib,ABDOMINAL DISCOMFORT,232
abemaciclib,THERAPY CESSATION,231
abemaciclib,OFF LABEL USE,230
abemaciclib,PRODUCT DOSE OMISSION ISSUE,230
abemaciclib,THERAPY INTERRUPTED,211
abemaciclib,HAEMOGLOBIN DECREASED,203
abemaciclib,PYREXIA,201
abemaciclib,COUGH,192
abemaciclib,DRUG INTOLERANCE,185
abemaciclib,PNEUMONITIS,182
abemaciclib,PRURITUS,180
abemaciclib,COVID-19,178
abemaciclib,NEUTROPHIL COUNT DECREASED,175
abemaciclib,PULMONARY EMBOLISM,160
abemaciclib,INSOMNIA,156
abemaciclib,THROMBOCYTOPENIA,154
abemaciclib,FEELING ABNORMAL,153
abemaciclib,HOT FLUSH,142
abemaciclib,THROMBOSIS,142
abemaciclib,HEPATIC FUNCTION ABNORMAL,141
abemaciclib,URINARY TRACT INFECTION,135
abemaciclib,RENAL IMPAIRMENT,134
abemaciclib,PAIN IN EXTREMITY,131
abemaciclib,TASTE DISORDER,129
abemaciclib,ALANINE AMINOTRANSFERASE INCREASED,128
abemaciclib,ILLNESS,127
abemaciclib,RED BLOOD CELL COUNT DECREASED,127
abemaciclib,ASPARTATE AMINOTRANSFERASE INCREASED,125
abemaciclib,STOMATITIS,123
abemaciclib,HEPATOTOXICITY,121
abemaciclib,METASTASES TO BONE,121
abemaciclib,HOSPITALISATION,119
abemaciclib,BACK PAIN,114
abemaciclib,MUSCLE SPASMS,112
abemaciclib,DYSPEPSIA,110
abemaciclib,FALL,110
abemaciclib,METASTASES TO LIVER,110
abemaciclib,RENAL FAILURE,103
abemaciclib,ABDOMINAL DISTENSION,101
abemaciclib,DRY SKIN,99
abemaciclib,ANXIETY,98
abemaciclib,GAIT DISTURBANCE,98
abemaciclib,BONE PAIN,97
abemaciclib,NEUROPATHY PERIPHERAL,95
abemaciclib,GASTROINTESTINAL DISORDER,94
abemaciclib,PLEURAL EFFUSION,94
abemaciclib,HYPOKALAEMIA,91
abemaciclib,PERIPHERAL SWELLING,91
abemaciclib,DEEP VEIN THROMBOSIS,89
abemaciclib,HYPOTENSION,89
abemaciclib,MYALGIA,88
abemaciclib,SEPSIS,88
abemaciclib,INFECTION,87
abemaciclib,LIVER DISORDER,87
abemaciclib,DYSPHAGIA,82
abemaciclib,THERAPY CHANGE,80
abemaciclib,DECREASED IMMUNE RESPONSIVENESS,79
abemaciclib,DEPRESSION,78
abemaciclib,LEUKOPENIA,78
abemaciclib,DRUG-INDUCED LIVER INJURY,77
abemaciclib,FULL BLOOD COUNT DECREASED,77
abemaciclib,BREAST CANCER METASTATIC,76
abemaciclib,HEPATIC ENZYME INCREASED,76
abemaciclib,LUNG DISORDER,74
abemaciclib,HYPOAESTHESIA,73
abemaciclib,HEPATIC FAILURE,71
abemaciclib,CHEST PAIN,69
abemaciclib,DRUG INTERACTION,69
pertuzumab,DIARRHOEA,3770
pertuzumab,OFF LABEL USE,2765
pertuzumab,FATIGUE,1812
pertuzumab,NAUSEA,1794
pertuzumab,ALOPECIA,1514
pertuzumab,NO ADVERSE EVENT,1398
pertuzumab,DISEASE PROGRESSION,1264
pertuzumab,VOMITING,1203
pertuzumab,DYSPNOEA,1136
pertuzumab,DEATH,1103
pertuzumab,MYELOSUPPRESSION,1096
pertuzumab,PYREXIA,1093
pertuzumab,NEUROPATHY PERIPHERAL,1087
pertuzumab,RASH,938
pertuzumab,NEUTROPENIA,932
pertuzumab,ANAEMIA,824
pertuzumab,ASTHENIA,819
pertuzumab,PAIN,754
pertuzumab,HEADACHE,752
pertuzumab,FEBRILE NEUTROPENIA,723
pertuzumab,EJECTION FRACTION DECREASED,677
pertuzumab,DECREASED APPETITE,656
pertuzumab,PRURITUS,618
pertuzumab,DRUG INEFFECTIVE,601
pertuzumab,PNEUMONIA,597
pertuzumab,MALAISE,537
pertuzumab,METASTASES TO CENTRAL NERVOUS SYSTEM,537
pertuzumab,WEIGHT DECREASED,530
pertuzumab,CONSTIPATION,529
pertuzumab,CHILLS,526
pertuzumab,COUGH,519
pertuzumab,MUCOSAL INFLAMMATION,504
pertuzumab,THROMBOCYTOPENIA,487
pertuzumab,ABDOMINAL PAIN,486
pertuzumab,DIZZINESS,472
pertuzumab,URINARY TRACT INFECTION,468
pertuzumab,PLATELET COUNT DECREASED,460
pertuzumab,ARTHRALGIA,453
pertuzumab,BACK PAIN,447
pertuzumab,INFUSION RELATED REACTION,438
pertuzumab,STOMATITIS,436
pertuzumab,WHITE BLOOD CELL COUNT DECREASED,427
pertuzumab,DEHYDRATION,415
pertuzumab,MYALGIA,398
pertuzumab,HAIR COLOUR CHANGES,397
pertuzumab,HAIR TEXTURE ABNORMAL,397
pertuzumab,EPISTAXIS,392
pertuzumab,MADAROSIS,390
pertuzumab,HYPOKALAEMIA,383
pertuzumab,PARAESTHESIA,381
pertuzumab,ERYTHEMA,371
pertuzumab,CARDIAC FAILURE,369
pertuzumab,POLYNEUROPATHY,365
pertuzumab,HYPOTENSION,362
pertuzumab,PAIN IN EXTREMITY,355
pertuzumab,HYPOAESTHESIA,352
pertuzumab,HAIR DISORDER,336
pertuzumab,GENERAL PHYSICAL HEALTH DETERIORATION,335
pertuzumab,HYPERTENSION,332
pertuzumab,PLEURAL EFFUSION,327
pertuzumab,INTERSTITIAL LUNG DISEASE,324
pertuzumab,NEUTROPHIL COUNT DECREASED,312
pertuzumab,BREAST CANCER METASTATIC,308
pertuzumab,CARDIOTOXICITY,308
pertuzumab,HYPERSENSITIVITY,308
pertuzumab,NASOPHARYNGITIS,294
pertuzumab,ACUTE KIDNEY INJURY,292
pertuzumab,MALIGNANT NEOPLASM PROGRESSION,288
pertuzumab,SEPSIS,284
pertuzumab,BONE PAIN,283
pertuzumab,CELLULITIS,278
pertuzumab,LEUKOPENIA,277
pertuzumab,ANXIETY,272
pertuzumab,CHEST DISCOMFORT,271
pertuzumab,CHEST PAIN,264
pertuzumab,INSOMNIA,258
pertuzumab,SEIZURE,258
pertuzumab,DYSPEPSIA,256
pertuzumab,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,253
pertuzumab,COVID-19,251
pertuzumab,DYSGEUSIA,249
pertuzumab,OEDEMA PERIPHERAL,249
pertuzumab,TACHYCARDIA,249
pertuzumab,METASTASES TO BONE,246
pertuzumab,PNEUMONITIS,241
pertuzumab,ABDOMINAL PAIN UPPER,240
pertuzumab,BREAST CANCER,237
pertuzumab,METASTASES TO LIVER,237
pertuzumab,NEOPLASM PROGRESSION,235
pertuzumab,INTENTIONAL PRODUCT USE ISSUE,231
pertuzumab,LEFT VENTRICULAR DYSFUNCTION,221
pertuzumab,MUSCLE SPASMS,221
pertuzumab,PULMONARY EMBOLISM,218
pertuzumab,TREMOR,218
pertuzumab,INFECTION,217
pertuzumab,DRY SKIN,214
pertuzumab,METASTASES TO LUNG,212
pertuzumab,LOWER RESPIRATORY TRACT INFECTION,209
pertuzumab,ALANINE AMINOTRANSFERASE INCREASED,207
pertuzumab,LACRIMATION INCREASED,204
panitumumab,RASH,1586
panitumumab,DIARRHOEA,1437
panitumumab,DERMATITIS ACNEIFORM,965
panitumumab,DEATH,868
panitumumab,NEUTROPENIA,853
panitumumab,SKIN TOXICITY,766
panitumumab,NAUSEA,743
panitumumab,HYPOMAGNESAEMIA,741
panitumumab,DISEASE PROGRESSION,678
panitumumab,NEUROPATHY PERIPHERAL,643
panitumumab,FATIGUE,590
panitumumab,VOMITING,558
panitumumab,OFF LABEL USE,553
panitumumab,PARONYCHIA,549
panitumumab,STOMATITIS,543
panitumumab,THROMBOCYTOPENIA,538
panitumumab,COLORECTAL CANCER METASTATIC,522
panitumumab,DECREASED APPETITE,499
panitumumab,DRY SKIN,486
panitumumab,ANAEMIA,460
panitumumab,PYREXIA,460
panitumumab,ASTHENIA,458
panitumumab,ERYTHEMA,349
panitumumab,PRURITUS,349
panitumumab,METASTASES TO LIVER,347
panitumumab,INTERSTITIAL LUNG DISEASE,346
panitumumab,DYSPNOEA,339
panitumumab,THERAPY PARTIAL RESPONDER,330
panitumumab,DEHYDRATION,307
panitumumab,MUCOSAL INFLAMMATION,300
panitumumab,FEBRILE NEUTROPENIA,298
panitumumab,SKIN DISORDER,293
panitumumab,RASH PUSTULAR,286
panitumumab,ABDOMINAL PAIN,267
panitumumab,MALAISE,259
panitumumab,SKIN REACTION,259
panitumumab,PULMONARY EMBOLISM,257
panitumumab,COLON CANCER,248
panitumumab,ACNE,238
panitumumab,NEUTROPHIL COUNT DECREASED,225
panitumumab,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,224
panitumumab,SKIN FISSURES,221
panitumumab,HYPERSENSITIVITY,220
panitumumab,MALIGNANT NEOPLASM PROGRESSION,218
panitumumab,HYPERTENSION,212
panitumumab,HYPOKALAEMIA,212
panitumumab,GENERAL PHYSICAL HEALTH DETERIORATION,207
panitumumab,LEUKOPENIA,205
panitumumab,COLORECTAL CANCER,201
panitumumab,POLYNEUROPATHY,199
panitumumab,PRODUCT STORAGE ERROR,199
panitumumab,WEIGHT DECREASED,194
panitumumab,CONSTIPATION,191
panitumumab,PNEUMONIA,183
panitumumab,DRUG INEFFECTIVE,177
panitumumab,CONJUNCTIVITIS,172
panitumumab,PAIN,172
panitumumab,HYPOCALCAEMIA,171
panitumumab,NEUROTOXICITY,169
panitumumab,SEPSIS,165
panitumumab,ALOPECIA,164
panitumumab,HYPOTENSION,160
panitumumab,CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,159
panitumumab,INFECTION,157
panitumumab,METASTASES TO LUNG,156
panitumumab,URINARY TRACT INFECTION,155
panitumumab,ACUTE KIDNEY INJURY,147
panitumumab,PLATELET COUNT DECREASED,144
panitumumab,INFUSION RELATED REACTION,142
panitumumab,BLOOD MAGNESIUM DECREASED,139
panitumumab,WHITE BLOOD CELL COUNT DECREASED,139
panitumumab,SKIN EXFOLIATION,132
panitumumab,SKIN LESION,129
panitumumab,DEEP VEIN THROMBOSIS,125
panitumumab,FOLLICULITIS,125
panitumumab,DERMATITIS,123
panitumumab,BACK PAIN,121
panitumumab,PERIPHERAL SENSORY NEUROPATHY,121
panitumumab,CHILLS,114
panitumumab,CONDITION AGGRAVATED,112
panitumumab,INTESTINAL OBSTRUCTION,112
panitumumab,RASH MACULO-PAPULAR,112
panitumumab,DIZZINESS,110
panitumumab,NEOPLASM PROGRESSION,109
panitumumab,TOXICITY TO VARIOUS AGENTS,107
panitumumab,HEADACHE,106
panitumumab,RENAL FAILURE,103
panitumumab,HAEMOGLOBIN DECREASED,102
panitumumab,EPISTAXIS,101
panitumumab,ASCITES,99
panitumumab,PARAESTHESIA,99
panitumumab,COVID-19,96
panitumumab,ILEUS,92
panitumumab,CHEST PAIN,85
panitumumab,ATRIAL FIBRILLATION,82
panitumumab,DYSGEUSIA,82
panitumumab,HEPATIC FAILURE,82
panitumumab,OEDEMA PERIPHERAL,81
panitumumab,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,80
panitumumab,ADENOCARCINOMA OF COLON,79
alectinib,DEATH,656
alectinib,FATIGUE,585
alectinib,CONSTIPATION,513
alectinib,OFF LABEL USE,486
alectinib,NO ADVERSE EVENT,452
alectinib,DISEASE PROGRESSION,361
alectinib,RASH,307
alectinib,DYSPNOEA,284
alectinib,DRUG INEFFECTIVE,275
alectinib,ANAEMIA,259
alectinib,MYALGIA,259
alectinib,ASTHENIA,247
alectinib,NAUSEA,241
alectinib,WEIGHT INCREASED,223
alectinib,DIARRHOEA,210
alectinib,BLOOD BILIRUBIN INCREASED,188
alectinib,PNEUMONIA,187
alectinib,PERIPHERAL SWELLING,173
alectinib,OEDEMA PERIPHERAL,172
alectinib,COUGH,168
alectinib,PAIN,162
alectinib,HEADACHE,161
alectinib,METASTASES TO CENTRAL NERVOUS SYSTEM,160
alectinib,OEDEMA,155
alectinib,COVID-19,144
alectinib,PYREXIA,140
alectinib,BLOOD CREATINE PHOSPHOKINASE INCREASED,139
alectinib,ARTHRALGIA,137
alectinib,NEOPLASM PROGRESSION,136
alectinib,DIZZINESS,132
alectinib,BLOOD CREATININE INCREASED,129
alectinib,ASPARTATE AMINOTRANSFERASE INCREASED,125
alectinib,VOMITING,124
alectinib,DECREASED APPETITE,118
alectinib,PLEURAL EFFUSION,116
alectinib,BRADYCARDIA,109
alectinib,HEPATIC FUNCTION ABNORMAL,109
alectinib,PNEUMONITIS,105
alectinib,BACK PAIN,101
alectinib,MALIGNANT NEOPLASM PROGRESSION,98
alectinib,PRURITUS,96
alectinib,ALANINE AMINOTRANSFERASE INCREASED,95
alectinib,INTERSTITIAL LUNG DISEASE,94
alectinib,DRUG RESISTANCE,86
alectinib,PAIN IN EXTREMITY,83
alectinib,INTENTIONAL PRODUCT USE ISSUE,80
alectinib,DYSPHAGIA,78
alectinib,NEUROPATHY PERIPHERAL,77
alectinib,MALAISE,76
alectinib,HAEMOGLOBIN DECREASED,74
alectinib,ALOPECIA,72
alectinib,MEMORY IMPAIRMENT,72
alectinib,MUSCULAR WEAKNESS,72
alectinib,PHOTOSENSITIVITY REACTION,72
alectinib,SWELLING,71
alectinib,HEPATIC ENZYME INCREASED,69
alectinib,FALL,68
alectinib,TRANSAMINASES INCREASED,68
alectinib,JOINT SWELLING,67
alectinib,NEOPLASM MALIGNANT,67
alectinib,LIVER DISORDER,66
alectinib,PULMONARY OEDEMA,65
alectinib,RENAL IMPAIRMENT,64
alectinib,CHEST PAIN,63
alectinib,GENERAL PHYSICAL HEALTH DETERIORATION,63
