tumor,drug,results
Gastric Adenocarcinoma,oxaliplatin,741
Gastric Adenocarcinoma,sotorasib,0
Gastrointestinal Stromal Tumor (GIST),pembrolizumab,4
Gastrointestinal Stromal Tumor (GIST),osimertinib,3
Gastrointestinal Stromal Tumor (GIST),nivolumab,10
Gastrointestinal Stromal Tumor (GIST),abemaciclib,0
Gastrointestinal Stromal Tumor (GIST),emtansine trastuzumab,0
Gastrointestinal Stromal Tumor (GIST),pertuzumab,2
Gastrointestinal Stromal Tumor (GIST),panitumumab,1
Gastrointestinal Stromal Tumor (GIST),alectinib,0
Gastrointestinal Stromal Tumor (GIST),dabrafenib,5
Gastrointestinal Stromal Tumor (GIST),niraparib,0
Gastrointestinal Stromal Tumor (GIST),trastuzumab,24
Gastrointestinal Stromal Tumor (GIST),cabozantinib,15
Gastrointestinal Stromal Tumor (GIST),deruxtecan trastuzumab,0
Gastrointestinal Stromal Tumor (GIST),ramucirumab,0
Gastrointestinal Stromal Tumor (GIST),atezolizumab,0
Gastrointestinal Stromal Tumor (GIST),bevacizumab,30
Gastrointestinal Stromal Tumor (GIST),olaparib,1
Gastrointestinal Stromal Tumor (GIST),trametinib,6
Gastrointestinal Stromal Tumor (GIST),ribociclib,0
Gastrointestinal Stromal Tumor (GIST),durvalumab,0
Gastrointestinal Stromal Tumor (GIST),lenvatinib,4
Gastrointestinal Stromal Tumor (GIST),palbociclib,4
Gastrointestinal Stromal Tumor (GIST),trifluridine tipiracil,0
Gastrointestinal Stromal Tumor (GIST),ipilimumab,11
Gastrointestinal Stromal Tumor (GIST),pazopanib,38
Gastrointestinal Stromal Tumor (GIST),crizotinib,10
Gastrointestinal Stromal Tumor (GIST),trabectedin,13
Gastrointestinal Stromal Tumor (GIST),avelumab,0
Gastrointestinal Stromal Tumor (GIST),lorlatinib,0
Gastrointestinal Stromal Tumor (GIST),enzalutamide,1
Gastrointestinal Stromal Tumor (GIST),afatinib,3
Gastrointestinal Stromal Tumor (GIST),capecitabine,4
Gastrointestinal Stromal Tumor (GIST),cetuximab,10
Gastrointestinal Stromal Tumor (GIST),paclitaxel albumin,3
Gastrointestinal Stromal Tumor (GIST),aflibercept,0
Gastrointestinal Stromal Tumor (GIST),sacituzumab govitecan,0
Gastrointestinal Stromal Tumor (GIST),eribulin,3
Gastrointestinal Stromal Tumor (GIST),paclitaxel,14
Gastrointestinal Stromal Tumor (GIST),sodium chloride,4
Gastrointestinal Stromal Tumor (GIST),encorafenib,0
Gastrointestinal Stromal Tumor (GIST),everolimus,22
Gastrointestinal Stromal Tumor (GIST),vinorelbine,2
Gastrointestinal Stromal Tumor (GIST),pemetrexed,2
Gastrointestinal Stromal Tumor (GIST),binimetinib,6
Gastrointestinal Stromal Tumor (GIST),carboplatin,5
Gastrointestinal Stromal Tumor (GIST),abiraterone,1
Gastrointestinal Stromal Tumor (GIST),denosumab,3
Gastrointestinal Stromal Tumor (GIST),everolimus,22
Gastrointestinal Stromal Tumor (GIST),filgrastim,0
Gastrointestinal Stromal Tumor (GIST),fluorouracil,24
Gastrointestinal Stromal Tumor (GIST),doxorubicin,62
Gastrointestinal Stromal Tumor (GIST),gemcitabine,36
Gastrointestinal Stromal Tumor (GIST),regorafenib,262
Gastrointestinal Stromal Tumor (GIST),selpercatinib,2
Gastrointestinal Stromal Tumor (GIST),remdesivir,0
Gastrointestinal Stromal Tumor (GIST),enoxaparin,2
Gastrointestinal Stromal Tumor (GIST),irinotecan,9
Gastrointestinal Stromal Tumor (GIST),nintedanib,3
Gastrointestinal Stromal Tumor (GIST),plerixafor,0
Gastrointestinal Stromal Tumor (GIST),alpelisib,3
Gastrointestinal Stromal Tumor (GIST),rucaparib,0
Gastrointestinal Stromal Tumor (GIST),temozolomide,12
Gastrointestinal Stromal Tumor (GIST),oxaliplatin,7
Gastrointestinal Stromal Tumor (GIST),sotorasib,0
Colorectal Adenocarcinoma,pembrolizumab,75
Colorectal Adenocarcinoma,osimertinib,6
Colorectal Adenocarcinoma,nivolumab,33
Colorectal Adenocarcinoma,abemaciclib,1
Colorectal Adenocarcinoma,emtansine trastuzumab,0
Colorectal Adenocarcinoma,pertuzumab,4
Colorectal Adenocarcinoma,panitumumab,105
Colorectal Adenocarcinoma,alectinib,4
Colorectal Adenocarcinoma,dabrafenib,8
Colorectal Adenocarcinoma,niraparib,2
Colorectal Adenocarcinoma,trastuzumab,39
Colorectal Adenocarcinoma,cabozantinib,9
Colorectal Adenocarcinoma,deruxtecan trastuzumab,1
Colorectal Adenocarcinoma,ramucirumab,12
Colorectal Adenocarcinoma,atezolizumab,14
Colorectal Adenocarcinoma,bevacizumab,405
Colorectal Adenocarcinoma,olaparib,8
Colorectal Adenocarcinoma,trametinib,15
Colorectal Adenocarcinoma,ribociclib,1
Colorectal Adenocarcinoma,durvalumab,10
Colorectal Adenocarcinoma,lenvatinib,6
Colorectal Adenocarcinoma,palbociclib,0
Colorectal Adenocarcinoma,trifluridine tipiracil,34
Colorectal Adenocarcinoma,ipilimumab,14
Colorectal Adenocarcinoma,pazopanib,5
Colorectal Adenocarcinoma,crizotinib,10
Colorectal Adenocarcinoma,trabectedin,0
Colorectal Adenocarcinoma,avelumab,4
Colorectal Adenocarcinoma,lorlatinib,1
Colorectal Adenocarcinoma,enzalutamide,0
Colorectal Adenocarcinoma,afatinib,7
Colorectal Adenocarcinoma,capecitabine,390
Colorectal Adenocarcinoma,cetuximab,302
Colorectal Adenocarcinoma,paclitaxel albumin,2
Colorectal Adenocarcinoma,aflibercept,14
Colorectal Adenocarcinoma,sacituzumab govitecan,2
Colorectal Adenocarcinoma,eribulin,0
Colorectal Adenocarcinoma,paclitaxel,85
Colorectal Adenocarcinoma,sodium chloride,14
Colorectal Adenocarcinoma,encorafenib,6
Colorectal Adenocarcinoma,everolimus,13
Colorectal Adenocarcinoma,vinorelbine,7
Colorectal Adenocarcinoma,pemetrexed,18
Colorectal Adenocarcinoma,binimetinib,4
Colorectal Adenocarcinoma,carboplatin,56
Colorectal Adenocarcinoma,abiraterone,1
Colorectal Adenocarcinoma,denosumab,1
Colorectal Adenocarcinoma,everolimus,13
Colorectal Adenocarcinoma,filgrastim,3
Colorectal Adenocarcinoma,fluorouracil,1997
Colorectal Adenocarcinoma,doxorubicin,212
Colorectal Adenocarcinoma,gemcitabine,84
Colorectal Adenocarcinoma,regorafenib,62
Colorectal Adenocarcinoma,selpercatinib,3
Colorectal Adenocarcinoma,remdesivir,0
Colorectal Adenocarcinoma,enoxaparin,4
Colorectal Adenocarcinoma,irinotecan,589
Colorectal Adenocarcinoma,nintedanib,10
Colorectal Adenocarcinoma,plerixafor,2
Colorectal Adenocarcinoma,alpelisib,0
Colorectal Adenocarcinoma,rucaparib,0
Colorectal Adenocarcinoma,temozolomide,9
Colorectal Adenocarcinoma,oxaliplatin,868
Colorectal Adenocarcinoma,sotorasib,11
Pancreatic Adenocarcinoma,pembrolizumab,99
Pancreatic Adenocarcinoma,osimertinib,5
Pancreatic Adenocarcinoma,nivolumab,96
Pancreatic Adenocarcinoma,abemaciclib,5
Pancreatic Adenocarcinoma,emtansine trastuzumab,3
Pancreatic Adenocarcinoma,pertuzumab,7
Pancreatic Adenocarcinoma,panitumumab,13
Pancreatic Adenocarcinoma,alectinib,6
Pancreatic Adenocarcinoma,dabrafenib,10
Pancreatic Adenocarcinoma,niraparib,6
Pancreatic Adenocarcinoma,trastuzumab,54
Pancreatic Adenocarcinoma,cabozantinib,25
Pancreatic Adenocarcinoma,deruxtecan trastuzumab,2
Pancreatic Adenocarcinoma,ramucirumab,26
Pancreatic Adenocarcinoma,atezolizumab,64
Pancreatic Adenocarcinoma,bevacizumab,167
Pancreatic Adenocarcinoma,olaparib,107
Pancreatic Adenocarcinoma,trametinib,78
Pancreatic Adenocarcinoma,ribociclib,1
Pancreatic Adenocarcinoma,durvalumab,21
Pancreatic Adenocarcinoma,lenvatinib,130
Pancreatic Adenocarcinoma,palbociclib,20
Pancreatic Adenocarcinoma,trifluridine tipiracil,1
Pancreatic Adenocarcinoma,ipilimumab,27
Pancreatic Adenocarcinoma,pazopanib,17
Pancreatic Adenocarcinoma,crizotinib,19
Pancreatic Adenocarcinoma,trabectedin,6
Pancreatic Adenocarcinoma,avelumab,5
Pancreatic Adenocarcinoma,lorlatinib,4
Pancreatic Adenocarcinoma,enzalutamide,3
Pancreatic Adenocarcinoma,afatinib,20
Pancreatic Adenocarcinoma,capecitabine,354
Pancreatic Adenocarcinoma,cetuximab,96
Pancreatic Adenocarcinoma,paclitaxel albumin,430
Pancreatic Adenocarcinoma,aflibercept,3
Pancreatic Adenocarcinoma,sacituzumab govitecan,2
Pancreatic Adenocarcinoma,eribulin,1
Pancreatic Adenocarcinoma,paclitaxel,1099
Pancreatic Adenocarcinoma,sodium chloride,18
Pancreatic Adenocarcinoma,encorafenib,2
Pancreatic Adenocarcinoma,everolimus,91
Pancreatic Adenocarcinoma,vinorelbine,12
Pancreatic Adenocarcinoma,pemetrexed,14
Pancreatic Adenocarcinoma,binimetinib,3
Pancreatic Adenocarcinoma,carboplatin,104
Pancreatic Adenocarcinoma,abiraterone,1
Pancreatic Adenocarcinoma,denosumab,2
Pancreatic Adenocarcinoma,everolimus,91
Pancreatic Adenocarcinoma,filgrastim,6
Pancreatic Adenocarcinoma,fluorouracil,2338
Pancreatic Adenocarcinoma,doxorubicin,384
Pancreatic Adenocarcinoma,gemcitabine,4231
Pancreatic Adenocarcinoma,regorafenib,26
Pancreatic Adenocarcinoma,selpercatinib,7
Pancreatic Adenocarcinoma,remdesivir,0
Pancreatic Adenocarcinoma,enoxaparin,13
Pancreatic Adenocarcinoma,irinotecan,849
Pancreatic Adenocarcinoma,nintedanib,12
Pancreatic Adenocarcinoma,plerixafor,8
Pancreatic Adenocarcinoma,alpelisib,3
Pancreatic Adenocarcinoma,rucaparib,6
Pancreatic Adenocarcinoma,temozolomide,40
Pancreatic Adenocarcinoma,oxaliplatin,920
Pancreatic Adenocarcinoma,sotorasib,25
Esophageal Squamous Cell Carcinoma,pembrolizumab,117
Esophageal Squamous Cell Carcinoma,osimertinib,0
Esophageal Squamous Cell Carcinoma,nivolumab,142
Esophageal Squamous Cell Carcinoma,abemaciclib,0
Esophageal Squamous Cell Carcinoma,emtansine trastuzumab,0
Esophageal Squamous Cell Carcinoma,pertuzumab,2
Esophageal Squamous Cell Carcinoma,panitumumab,8
Esophageal Squamous Cell Carcinoma,alectinib,0
Esophageal Squamous Cell Carcinoma,dabrafenib,0
Esophageal Squamous Cell Carcinoma,niraparib,3
Esophageal Squamous Cell Carcinoma,trastuzumab,37
Esophageal Squamous Cell Carcinoma,cabozantinib,1
Esophageal Squamous Cell Carcinoma,deruxtecan trastuzumab,3
Esophageal Squamous Cell Carcinoma,ramucirumab,8
Esophageal Squamous Cell Carcinoma,atezolizumab,6
Esophageal Squamous Cell Carcinoma,bevacizumab,18
Esophageal Squamous Cell Carcinoma,olaparib,8
Esophageal Squamous Cell Carcinoma,trametinib,3
Esophageal Squamous Cell Carcinoma,ribociclib,1
Esophageal Squamous Cell Carcinoma,durvalumab,7
Esophageal Squamous Cell Carcinoma,lenvatinib,2
Esophageal Squamous Cell Carcinoma,palbociclib,8
Esophageal Squamous Cell Carcinoma,trifluridine tipiracil,3
Esophageal Squamous Cell Carcinoma,ipilimumab,31
Esophageal Squamous Cell Carcinoma,pazopanib,0
Esophageal Squamous Cell Carcinoma,crizotinib,3
Esophageal Squamous Cell Carcinoma,trabectedin,0
Esophageal Squamous Cell Carcinoma,avelumab,1
Esophageal Squamous Cell Carcinoma,lorlatinib,0
Esophageal Squamous Cell Carcinoma,enzalutamide,0
Esophageal Squamous Cell Carcinoma,afatinib,10
Esophageal Squamous Cell Carcinoma,capecitabine,57
Esophageal Squamous Cell Carcinoma,cetuximab,70
Esophageal Squamous Cell Carcinoma,paclitaxel albumin,39
Esophageal Squamous Cell Carcinoma,aflibercept,0
Esophageal Squamous Cell Carcinoma,sacituzumab govitecan,0
Esophageal Squamous Cell Carcinoma,eribulin,1
Esophageal Squamous Cell Carcinoma,paclitaxel,538
Esophageal Squamous Cell Carcinoma,sodium chloride,16
Esophageal Squamous Cell Carcinoma,encorafenib,0
Esophageal Squamous Cell Carcinoma,everolimus,7
Esophageal Squamous Cell Carcinoma,vinorelbine,29
Esophageal Squamous Cell Carcinoma,pemetrexed,8
Esophageal Squamous Cell Carcinoma,binimetinib,0
Esophageal Squamous Cell Carcinoma,carboplatin,215
Esophageal Squamous Cell Carcinoma,abiraterone,0
Esophageal Squamous Cell Carcinoma,denosumab,0
Esophageal Squamous Cell Carcinoma,everolimus,7
Esophageal Squamous Cell Carcinoma,filgrastim,7
Esophageal Squamous Cell Carcinoma,fluorouracil,1677
Esophageal Squamous Cell Carcinoma,doxorubicin,116
Esophageal Squamous Cell Carcinoma,gemcitabine,30
Esophageal Squamous Cell Carcinoma,regorafenib,0
Esophageal Squamous Cell Carcinoma,selpercatinib,0
Esophageal Squamous Cell Carcinoma,remdesivir,0
Esophageal Squamous Cell Carcinoma,enoxaparin,2
Esophageal Squamous Cell Carcinoma,irinotecan,88
Esophageal Squamous Cell Carcinoma,nintedanib,0
Esophageal Squamous Cell Carcinoma,plerixafor,0
Esophageal Squamous Cell Carcinoma,alpelisib,3
Esophageal Squamous Cell Carcinoma,rucaparib,1
Esophageal Squamous Cell Carcinoma,temozolomide,4
Esophageal Squamous Cell Carcinoma,oxaliplatin,76
Esophageal Squamous Cell Carcinoma,sotorasib,0
Esophageal Adenocarcinoma,pembrolizumab,111
Esophageal Adenocarcinoma,osimertinib,1
Esophageal Adenocarcinoma,nivolumab,106
Esophageal Adenocarcinoma,abemaciclib,1
Esophageal Adenocarcinoma,emtansine trastuzumab,3
Esophageal Adenocarcinoma,pertuzumab,14
Esophageal Adenocarcinoma,panitumumab,15
Esophageal Adenocarcinoma,alectinib,2
Esophageal Adenocarcinoma,dabrafenib,0
Esophageal Adenocarcinoma,niraparib,2
Esophageal Adenocarcinoma,trastuzumab,223
Esophageal Adenocarcinoma,cabozantinib,8
Esophageal Adenocarcinoma,deruxtecan trastuzumab,16
Esophageal Adenocarcinoma,ramucirumab,93
Esophageal Adenocarcinoma,atezolizumab,35
Esophageal Adenocarcinoma,bevacizumab,71
Esophageal Adenocarcinoma,olaparib,3
Esophageal Adenocarcinoma,trametinib,3
Esophageal Adenocarcinoma,ribociclib,0
Esophageal Adenocarcinoma,durvalumab,19
Esophageal Adenocarcinoma,lenvatinib,7
Esophageal Adenocarcinoma,palbociclib,4
Esophageal Adenocarcinoma,trifluridine tipiracil,7
Esophageal Adenocarcinoma,ipilimumab,22
Esophageal Adenocarcinoma,pazopanib,3
Esophageal Adenocarcinoma,crizotinib,11
Esophageal Adenocarcinoma,trabectedin,0
Esophageal Adenocarcinoma,avelumab,10
Esophageal Adenocarcinoma,lorlatinib,0
Esophageal Adenocarcinoma,enzalutamide,0
Esophageal Adenocarcinoma,afatinib,4
Esophageal Adenocarcinoma,capecitabine,203
Esophageal Adenocarcinoma,cetuximab,52
Esophageal Adenocarcinoma,paclitaxel albumin,9
Esophageal Adenocarcinoma,aflibercept,1
Esophageal Adenocarcinoma,sacituzumab govitecan,2
Esophageal Adenocarcinoma,eribulin,2
Esophageal Adenocarcinoma,paclitaxel,363
Esophageal Adenocarcinoma,sodium chloride,7
Esophageal Adenocarcinoma,encorafenib,0
Esophageal Adenocarcinoma,everolimus,11
Esophageal Adenocarcinoma,vinorelbine,19
Esophageal Adenocarcinoma,pemetrexed,13
Esophageal Adenocarcinoma,binimetinib,0
Esophageal Adenocarcinoma,carboplatin,191
Esophageal Adenocarcinoma,abiraterone,0
Esophageal Adenocarcinoma,denosumab,0
Esophageal Adenocarcinoma,everolimus,11
Esophageal Adenocarcinoma,filgrastim,2
Esophageal Adenocarcinoma,fluorouracil,1027
Esophageal Adenocarcinoma,doxorubicin,172
Esophageal Adenocarcinoma,gemcitabine,47
Esophageal Adenocarcinoma,regorafenib,5
Esophageal Adenocarcinoma,selpercatinib,0
Esophageal Adenocarcinoma,remdesivir,0
Esophageal Adenocarcinoma,enoxaparin,1
Esophageal Adenocarcinoma,irinotecan,148
Esophageal Adenocarcinoma,nintedanib,1
Esophageal Adenocarcinoma,plerixafor,0
Esophageal Adenocarcinoma,alpelisib,0
Esophageal Adenocarcinoma,rucaparib,2
Esophageal Adenocarcinoma,temozolomide,4
Esophageal Adenocarcinoma,oxaliplatin,297
Esophageal Adenocarcinoma,sotorasib,0
Small Intestine Adenocarcinoma,pembrolizumab,10
Small Intestine Adenocarcinoma,osimertinib,0
Small Intestine Adenocarcinoma,nivolumab,5
Small Intestine Adenocarcinoma,abemaciclib,0
Small Intestine Adenocarcinoma,emtansine trastuzumab,0
Small Intestine Adenocarcinoma,pertuzumab,1
Small Intestine Adenocarcinoma,panitumumab,2
Small Intestine Adenocarcinoma,alectinib,1
Small Intestine Adenocarcinoma,dabrafenib,2
Small Intestine Adenocarcinoma,niraparib,0
Small Intestine Adenocarcinoma,trastuzumab,5
Small Intestine Adenocarcinoma,cabozantinib,1
Small Intestine Adenocarcinoma,deruxtecan trastuzumab,2
Small Intestine Adenocarcinoma,ramucirumab,1
Small Intestine Adenocarcinoma,atezolizumab,2
Small Intestine Adenocarcinoma,bevacizumab,16
Small Intestine Adenocarcinoma,olaparib,0
Small Intestine Adenocarcinoma,trametinib,4
Small Intestine Adenocarcinoma,ribociclib,0
Small Intestine Adenocarcinoma,durvalumab,0
Small Intestine Adenocarcinoma,lenvatinib,1
Small Intestine Adenocarcinoma,palbociclib,0
Small Intestine Adenocarcinoma,trifluridine tipiracil,0
Small Intestine Adenocarcinoma,ipilimumab,1
Small Intestine Adenocarcinoma,pazopanib,0
Small Intestine Adenocarcinoma,crizotinib,1
Small Intestine Adenocarcinoma,trabectedin,0
Small Intestine Adenocarcinoma,avelumab,1
Small Intestine Adenocarcinoma,lorlatinib,1
Small Intestine Adenocarcinoma,enzalutamide,0
Small Intestine Adenocarcinoma,afatinib,0
Small Intestine Adenocarcinoma,capecitabine,44
Small Intestine Adenocarcinoma,cetuximab,10
Small Intestine Adenocarcinoma,paclitaxel albumin,4
Small Intestine Adenocarcinoma,aflibercept,1
Small Intestine Adenocarcinoma,sacituzumab govitecan,0
Small Intestine Adenocarcinoma,eribulin,0
Small Intestine Adenocarcinoma,paclitaxel,22
Small Intestine Adenocarcinoma,sodium chloride,9
Small Intestine Adenocarcinoma,encorafenib,1
Small Intestine Adenocarcinoma,everolimus,5
Small Intestine Adenocarcinoma,vinorelbine,0
Small Intestine Adenocarcinoma,pemetrexed,1
Small Intestine Adenocarcinoma,binimetinib,1
Small Intestine Adenocarcinoma,carboplatin,11
Small Intestine Adenocarcinoma,abiraterone,1
Small Intestine Adenocarcinoma,denosumab,0
Small Intestine Adenocarcinoma,everolimus,5
Small Intestine Adenocarcinoma,filgrastim,0
Small Intestine Adenocarcinoma,fluorouracil,170
Small Intestine Adenocarcinoma,doxorubicin,34
Small Intestine Adenocarcinoma,gemcitabine,59
Small Intestine Adenocarcinoma,regorafenib,3
Small Intestine Adenocarcinoma,selpercatinib,2
Small Intestine Adenocarcinoma,remdesivir,0
Small Intestine Adenocarcinoma,enoxaparin,2
Small Intestine Adenocarcinoma,irinotecan,38
Small Intestine Adenocarcinoma,nintedanib,1
Small Intestine Adenocarcinoma,plerixafor,0
Small Intestine Adenocarcinoma,alpelisib,0
Small Intestine Adenocarcinoma,rucaparib,0
Small Intestine Adenocarcinoma,temozolomide,1
Small Intestine Adenocarcinoma,oxaliplatin,50
Small Intestine Adenocarcinoma,sotorasib,0
Gastrointestinal Carcinoid Tumor,pembrolizumab,0
Gastrointestinal Carcinoid Tumor,osimertinib,0
Gastrointestinal Carcinoid Tumor,nivolumab,2
Gastrointestinal Carcinoid Tumor,abemaciclib,0
Gastrointestinal Carcinoid Tumor,emtansine trastuzumab,0
Gastrointestinal Carcinoid Tumor,pertuzumab,0
Gastrointestinal Carcinoid Tumor,panitumumab,0
Gastrointestinal Carcinoid Tumor,alectinib,0
Gastrointestinal Carcinoid Tumor,dabrafenib,1
Gastrointestinal Carcinoid Tumor,niraparib,0
Gastrointestinal Carcinoid Tumor,trastuzumab,0
Gastrointestinal Carcinoid Tumor,cabozantinib,1
Gastrointestinal Carcinoid Tumor,deruxtecan trastuzumab,0
Gastrointestinal Carcinoid Tumor,ramucirumab,0
Gastrointestinal Carcinoid Tumor,atezolizumab,0
Gastrointestinal Carcinoid Tumor,bevacizumab,9
Gastrointestinal Carcinoid Tumor,olaparib,0
Gastrointestinal Carcinoid Tumor,trametinib,1
Gastrointestinal Carcinoid Tumor,ribociclib,0
Gastrointestinal Carcinoid Tumor,durvalumab,1
Gastrointestinal Carcinoid Tumor,lenvatinib,0
Gastrointestinal Carcinoid Tumor,palbociclib,0
Gastrointestinal Carcinoid Tumor,trifluridine tipiracil,0
Gastrointestinal Carcinoid Tumor,ipilimumab,2
Gastrointestinal Carcinoid Tumor,pazopanib,1
Gastrointestinal Carcinoid Tumor,crizotinib,0
Gastrointestinal Carcinoid Tumor,trabectedin,0
Gastrointestinal Carcinoid Tumor,avelumab,0
Gastrointestinal Carcinoid Tumor,lorlatinib,0
Gastrointestinal Carcinoid Tumor,enzalutamide,1
Gastrointestinal Carcinoid Tumor,afatinib,0
Gastrointestinal Carcinoid Tumor,capecitabine,10
Gastrointestinal Carcinoid Tumor,cetuximab,0
Gastrointestinal Carcinoid Tumor,paclitaxel albumin,1
Gastrointestinal Carcinoid Tumor,aflibercept,0
Gastrointestinal Carcinoid Tumor,sacituzumab govitecan,0
Gastrointestinal Carcinoid Tumor,eribulin,0
Gastrointestinal Carcinoid Tumor,paclitaxel,3
Gastrointestinal Carcinoid Tumor,sodium chloride,0
Gastrointestinal Carcinoid Tumor,encorafenib,0
Gastrointestinal Carcinoid Tumor,everolimus,36
Gastrointestinal Carcinoid Tumor,vinorelbine,0
Gastrointestinal Carcinoid Tumor,pemetrexed,0
Gastrointestinal Carcinoid Tumor,binimetinib,0
Gastrointestinal Carcinoid Tumor,carboplatin,4
Gastrointestinal Carcinoid Tumor,abiraterone,1
Gastrointestinal Carcinoid Tumor,denosumab,0
Gastrointestinal Carcinoid Tumor,everolimus,36
Gastrointestinal Carcinoid Tumor,filgrastim,0
Gastrointestinal Carcinoid Tumor,fluorouracil,40
Gastrointestinal Carcinoid Tumor,doxorubicin,17
Gastrointestinal Carcinoid Tumor,gemcitabine,0
Gastrointestinal Carcinoid Tumor,regorafenib,0
Gastrointestinal Carcinoid Tumor,selpercatinib,0
Gastrointestinal Carcinoid Tumor,remdesivir,0
Gastrointestinal Carcinoid Tumor,enoxaparin,0
Gastrointestinal Carcinoid Tumor,irinotecan,2
Gastrointestinal Carcinoid Tumor,nintedanib,0
Gastrointestinal Carcinoid Tumor,plerixafor,0
Gastrointestinal Carcinoid Tumor,alpelisib,0
Gastrointestinal Carcinoid Tumor,rucaparib,0
Gastrointestinal Carcinoid Tumor,temozolomide,12
Gastrointestinal Carcinoid Tumor,oxaliplatin,8
Gastrointestinal Carcinoid Tumor,sotorasib,0
Ampullary Adenocarcinoma,pembrolizumab,2
Ampullary Adenocarcinoma,osimertinib,0
Ampullary Adenocarcinoma,nivolumab,2
Ampullary Adenocarcinoma,abemaciclib,0
Ampullary Adenocarcinoma,emtansine trastuzumab,0
Ampullary Adenocarcinoma,pertuzumab,2
Ampullary Adenocarcinoma,panitumumab,1
Ampullary Adenocarcinoma,alectinib,0
Ampullary Adenocarcinoma,dabrafenib,0
Ampullary Adenocarcinoma,niraparib,0
Ampullary Adenocarcinoma,trastuzumab,2
Ampullary Adenocarcinoma,cabozantinib,0
Ampullary Adenocarcinoma,deruxtecan trastuzumab,1
Ampullary Adenocarcinoma,ramucirumab,0
Ampullary Adenocarcinoma,atezolizumab,0
Ampullary Adenocarcinoma,bevacizumab,3
Ampullary Adenocarcinoma,olaparib,0
Ampullary Adenocarcinoma,trametinib,0
Ampullary Adenocarcinoma,ribociclib,0
Ampullary Adenocarcinoma,durvalumab,0
Ampullary Adenocarcinoma,lenvatinib,0
Ampullary Adenocarcinoma,palbociclib,0
Ampullary Adenocarcinoma,trifluridine tipiracil,1
Ampullary Adenocarcinoma,ipilimumab,1
Ampullary Adenocarcinoma,pazopanib,0
Ampullary Adenocarcinoma,crizotinib,0
Ampullary Adenocarcinoma,trabectedin,0
Ampullary Adenocarcinoma,avelumab,1
Ampullary Adenocarcinoma,lorlatinib,0
Ampullary Adenocarcinoma,enzalutamide,0
Ampullary Adenocarcinoma,afatinib,1
Ampullary Adenocarcinoma,capecitabine,18
Ampullary Adenocarcinoma,cetuximab,1
Ampullary Adenocarcinoma,paclitaxel albumin,3
Ampullary Adenocarcinoma,aflibercept,0
Ampullary Adenocarcinoma,sacituzumab govitecan,0
Ampullary Adenocarcinoma,eribulin,0
Ampullary Adenocarcinoma,paclitaxel,3
